MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1442.01001	1442.01001	1418.01001	1914.9100342	5997.7143555
1442.030029	1442.030029	1418.030029	1914.9200439	3998.4760742
1442.0600586	1442.0600586	1418.0600586	1914.9300537	5997.7143555
1442.0799561	1442.0799561	1418.0799561	1914.9399414	4021.97583
1442.1099854	1442.1099854	1418.1099854	1914.9499512	6069.9760742
1442.1400146	1442.1400146	1418.1400146	1914.969971	2998.8571777
1442.1600342	1442.1600342	1418.1600342	1914.97998	3998.4760742
1442.1899414	1442.1899414	1418.1899414	1914.99	5973.3334961
1442.26001	1442.26001	1418.26001	1915.030029	3498.666748
1442.3399658	1442.3399658	1418.3399658	1915.0699463	4004.298584
1442.4200439	1442.4200439	1418.4200439	1915.1099854	3998.4760742
1442.469971	1442.469971	1418.469971	1915.1400146	3323.9365234
1442.49	1442.49	1418.49	1915.1500244	3998.4760742
1442.540039	1442.540039	1418.540039	1915.1800537	3332.0634766
1442.5899658	1442.5899658	1418.5899658	1915.209961	3337.179199
1442.62	1442.62	1418.62	1915.219971	5997.7143555
1442.719971	1442.719971	1418.719971	1915.27002	4003.1313477
1442.75	1442.75	1418.75	1915.290039	2998.8571777
1442.8	1442.8	1418.8	1915.3100586	4998.0952148
1442.8199463	1442.8199463	1418.8199463	1915.3299561	1998.946167
1442.9200439	1442.9200439	1418.9200439	1915.38	3998.4760742
1442.9499512	1442.9499512	1418.9499512	1915.3900146	5973.3334961
1443	1443	1419	1915.4200439	3332.0634766
1443.02002	1443.02002	1419.02002	1915.4300537	3998.4760742
1443.0500488	1443.0500488	1419.0500488	1915.4499512	3016.8144531
1443.0799561	1443.0799561	1419.0799561	1915.459961	5973.3334961
1443.1	1443.1	1419.1	1915.469971	3998.4760742
1443.13	1443.13	1419.13	1915.49	2998.8571777
1443.1500244	1443.1500244	1419.1500244	1915.5	3998.4760742
1443.1800537	1443.1800537	1419.1800537	1915.52002	2998.8571777
1443.22998	1443.22998	1419.22998	1915.540039	5015.7602539
1443.25	1443.25	1419.25	1915.5600586	1999.2380371
1443.280029	1443.280029	1419.280029	1915.5699463	6069.9760742
1443.3	1443.3	1419.3	1915.5899658	1999.2380371
1443.3299561	1443.3299561	1419.3299561	1915.6	5973.3334961
1443.3499756	1443.3499756	1419.3499756	1915.62	1999.2380371
1443.459961	1443.459961	1419.459961	1915.6800537	3661.2062988
1443.47998	1443.47998	1419.47998	1915.7	2011.2095947
1443.5600586	1443.5600586	1419.5600586	1915.75	3198.7810059
1443.5799561	1443.5799561	1419.5799561	1915.76001	3974.0952148
1443.6099854	1443.6099854	1419.6099854	1915.780029	2998.8571777
1443.6600342	1443.6600342	1419.6600342	1915.8100586	3332.0634766
1443.6899414	1443.6899414	1419.6899414	1915.8299561	3022.6506348
1443.790039	1443.790039	1419.790039	1915.8900146	3332.0634766
1443.8100586	1443.8100586	1419.8100586	1915.9	3998.4760742
1443.99	1443.99	1419.99	1916.02002	2997.7675781
1444.02002	1444.02002	1420.02002	1916.030029	5997.7143555
1444.040039	1444.040039	1420.040039	1916.0500488	1999.2380371
1444.0699463	1444.0699463	1420.0699463	1916.0600586	5973.3334961
1444.0899658	1444.0899658	1420.0899658	1916.0799561	2011.2095947
1444.12	1444.12	1420.12	1916.1	2998.8571777
1444.1400146	1444.1400146	1420.1400146	1916.1099854	3998.4760742
1444.1899414	1444.1899414	1420.1899414	1916.1400146	3337.179199
1444.24	1444.24	1420.24	1916.1700439	3332.0634766
1444.27002	1444.27002	1420.27002	1916.1800537	5997.7143555
1444.290039	1444.290039	1420.290039	1916.2	2011.2095947
1444.3199463	1444.3199463	1420.3199463	1916.209961	5973.3334961
1444.3499756	1444.3499756	1420.3499756	1916.219971	5997.7143555
1444.37	1444.37	1420.37	1916.24	1999.2380371
1444.4	1444.4	1420.4	1916.25	5997.7143555
1444.4200439	1444.4200439	1420.4200439	1916.26001	3998.4760742
1444.4499512	1444.4499512	1420.4499512	1916.27002	5973.3334961
1444.469971	1444.469971	1420.469971	1916.280029	3998.4760742
1444.5	1444.5	1420.5	1916.3	2998.8571777
1444.52002	1444.52002	1420.52002	1916.3100586	3998.4760742
1444.5500488	1444.5500488	1420.5500488	1916.3199463	6069.9760742
1444.5699463	1444.5699463	1420.5699463	1916.3299561	3974.0952148
1444.63	1444.63	1420.63	1916.3499756	5997.7143555
1444.6500244	1444.6500244	1420.6500244	1916.3599854	3998.4760742
