MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1764.3299561	1764.3199463	1739.3199463	2253.6298828	1095.3156738
1765.01001	1765	1740	2254.8798828	1088.0610352
1768.6400146	1768.63	1743.63	2257.9399414	2372.4726563
1769.3199463	1769.3099365	1744.3099365	2259.1899414	1088.0732422
1770.01001	1770	1745	2260.4499512	1095.302124
1773.63	1773.62	1748.62	2263.5	2373.697998
1774.3199463	1774.3099365	1749.3099365	2264.75	1103.8809814
1775.01001	1775	1750	2266.01001	1095.302124
1778.6400146	1778.63	1753.63	2269.0600586	2380.2617188
1779.3299561	1779.3199463	1754.3199463	2270.3200684	1095.1083984
1780.01001	1780	1755	2271.5700684	1088.2685547
1783.6400146	1783.63	1758.63	2274.6298828	2372.6577148
1784.3199463	1784.3099365	1759.3099365	2275.8798828	1087.8657227
1785.01001	1785	1760	2277.1398926	1095.302124
1788.6400146	1788.63	1763.63	2280.1899414	2380.2617188
1789.3299561	1789.3199463	1764.3199463	2281.4499512	1095.1083984
1790.01001	1790	1765	2282.7	1088.0610352
1793.63	1793.62	1768.62	2285.76001	2366.11499
1794.3100586	1794.3	1769.3	2287.01001	1088.0610352
1795	1794.99	1769.99	2288.27002	1095.1083984
1798.63	1798.62	1773.62	2291.3200684	2380.2617188
1799.3199463	1799.3099365	1774.3099365	2292.5700684	1103.8809814
1800	1799.99	1774.99	2293.8200684	1088.0610352
1803.63	1803.62	1778.62	2296.8798828	2372.842529
1804.3100586	1804.3	1779.3	2298.1298828	1088.0610352
1805	1804.99	1779.99	2299.3898926	1095.1083984
1808.63	1808.62	1783.62	2302.4399414	2380.2617188
1809.3199463	1809.3099365	1784.3099365	2303.7	1095.1083984
1810	1809.99	1784.99	2304.9499512	1088.0610352
1813.63	1813.62	1788.62	2308.01001	2372.4726563
1814.3100586	1814.3	1789.3	2309.26001	1088.2685547
1815	1814.99	1789.99	2310.52002	1095.1083984
1818.63	1818.62	1793.62	2313.5700684	2380.2617188
1819.3199463	1819.3099365	1794.3099365	2314.8300781	1095.1083984
1820	1819.99	1794.99	2316.0800781	1088.0610352
1823.63	1823.62	1798.62	2319.1398926	2372.6577148
1824.3100586	1824.3	1799.3	2320.3798828	1096.8475342
1825	1824.99	1799.99	2321.6398926	1095.3156738
1828.63	1828.62	1803.62	2324.6899414	2380.2617188
1829.3199463	1829.3099365	1804.3099365	2325.9499512	1095.1083984
1830	1829.99	1804.99	2327.2	1088.0610352
1833.63	1833.62	1808.62	2330.26001	2372.4726563
1834.3100586	1834.3	1809.3	2331.51001	1088.0610352
1835	1834.99	1809.99	2332.77002	1095.1083984
1838.63	1838.62	1813.62	2335.8200684	2380.4477539
1839.3199463	1839.3099365	1814.3099365	2337.0800781	1095.1083984
1840	1839.99	1814.99	2338.3300781	1088.0610352
1843.63	1843.62	1818.62	2341.3898926	2372.6577148
1844.3100586	1844.3	1819.3	2342.6398926	1088.0610352
1845	1844.99	1819.99	2343.9	1095.1083984
1848.62	1848.6099854	1823.6099854	2346.9499512	2373.697998
1849.3100586	1849.3	1824.3	2348.2	1104.2868652
1850	1849.99	1824.99	2349.459961	1095.1083984
1853.63	1853.62	1828.62	2352.51001	2380.2617188
1854.3199463	1854.3099365	1829.3099365	2353.77002	1095.1083984
1855	1854.99	1829.99	2355.02002	1088.0610352
1858.63	1858.62	1833.62	2358.0800781	2372.4726563
1859.3100586	1859.3	1834.3	2359.3300781	1088.0610352
1860	1859.99	1834.99	2360.5900879	1095.3156738
1863.63	1863.62	1838.62	2363.6398926	2380.4477539
1864.3199463	1864.3099365	1839.3099365	2364.9	1095.1083984
1865	1864.99	1839.99	2366.1499023	1088.0610352
1868.63	1868.62	1843.62	2369.209961	2372.4726563
1869.3100586	1869.3	1844.3	2370.459961	1088.0610352
1870	1869.99	1844.99	2371.719971	1095.1083984
1873.63	1873.62	1848.62	2374.77002	2380.4477539
