DEPTH,CAL,DTCO,DTSM,LITHO,PHIE,PHIT,RHOB,SW,VCLAY,WELL,VP,IP,IS,VS
2777.566,12.3528,51.01901,95.44112,58.0,0.0,0.05412857842518,2.695003,1.0,0.6077405834648669,1-BRSA-192-ESS,5974.243718174853,16100.604743212381,8606.740096930967,3193.5920282578413
2777.666,12.3948,48.58427,91.8698,58.0,0.0,0.0639736780314952,2.682549,1.0,0.5344438220472439,1-BRSA-192-ESS,6273.63547913759,16829.33458092506,8899.996899960597,3317.738799910308
2777.766,12.47904,54.91117,103.7098,58.0,0.0,0.0873588677165208,2.611741,1.0,0.5297649905511951,1-BRSA-192-ESS,5550.783201304944,14497.208068959375,7675.828675785701,2938.970087686988
2777.866,12.48341,57.72246,109.2305,58.0,0.0,0.1215605480314531,2.478883,1.0,0.5611331440944407,1-BRSA-192-ESS,5280.440230717818,13089.593520442477,6917.148034660649,2790.4294130302433
2777.966,12.48341,58.9385,111.5903,58.0,0.0,0.1562588913386625,2.441069,1.0,0.6384047763782478,1-BRSA-192-ESS,5171.492318263953,12623.96958185227,6667.585186167616,2731.420204085839
2778.066,12.54872,59.4066,111.3388,57.0,0.0,0.1804552149605848,2.453607,1.0,0.7798529433066882,1-BRSA-192-ESS,5130.743048752159,12588.827059619638,6716.970306847208,2737.590130304979
2778.166,12.57049,59.79574,110.0563,57.0,0.0,0.195013470866156,2.465223,1.0,0.9783087803153648,1-BRSA-192-ESS,5097.353089032764,12566.112074204617,6827.414426979646,2769.491614746271
2778.266,12.48341,60.68148,109.7596,57.0,0.0,0.1920868236219735,2.508517,1.0,1.0,1-BRSA-192-ESS,5022.949341380599,12600.153812992037,6966.096647582534,2776.978050211553
2778.366,12.50518,64.86309,118.7232,57.0,0.0,0.136603882677125,2.624593,1.0,0.877190291338346,1-BRSA-192-ESS,4699.128579905768,12333.299976920618,6738.160245006872,2567.316244845152
2778.466,12.50518,66.1843,122.5599,57.0,0.0,0.0926920388974595,2.694469,1.0,0.6400560653534,1-BRSA-192-ESS,4605.321805926784,12408.896841093734,6701.00213201871,2486.9471988798946
2778.566,12.4241,66.07026,123.7571,57.0,0.0,0.0567145259842577,2.682129,1.0,0.4626855433070921,1-BRSA-192-ESS,4613.270781740529,12373.387348558945,6605.786005004966,2462.888997883758
2778.666,12.37457,69.38947,130.4481,57.0,0.0,0.0409859640944379,2.693673,1.0,0.416520868503663,1-BRSA-192-ESS,4392.597320602103,11832.220802378228,6293.932455896253,2336.561437077274
2778.766,12.37457,71.46851,133.0593,57.0,0.0,0.0332884891338603,2.697347,1.0,0.3519269338583938,1-BRSA-192-ESS,4264.815371133384,11503.686946880522,6178.834291176941,2290.7079775709026
2778.866,12.46541,72.53287,132.4724,49.0,0.0226021701573875,0.0340801795275297,2.664705,1.0,0.0393127700002171,1-BRSA-192-ESS,4202.232725659414,11197.71055522827,6131.104169623258,2300.856631268098
2778.966,12.49918,72.04532,129.8217,49.0,0.0511791583465045,0.0511791583465045,2.621018,0.9193387165351729,0.0,1-BRSA-192-ESS,4230.670361378088,11088.663169238473,6153.719188702659,2347.835531347995
2779.066,12.39634,72.77905,126.9499,49.0,0.0868050760628593,0.0868050760628593,2.53864,0.7362906622051711,0.0,1-BRSA-192-ESS,4188.018392655579,10631.87101233116,6095.140460921985,2400.947145291174
